X,Y,fid,address,direction,street,crossstree,intersecti
-8534734.08370041,4760332.57470205,1,S CATON AVE & BENSON AVE,N/B,Caton Ave,Benson Ave,Caton Ave & Benson Ave
-8534750.92524119,4760323.62952001,2,S CATON AVE & BENSON AVE,S/B,Caton Ave,Benson Ave,Caton Ave & Benson Ave
-8535640.47847176,4760713.22840191,3,WILKENS AVE & PINE HEIGHTS AVE,E/B,Wilkens Ave,Pine Heights,Wilkens Ave & Pine Heights
-8526556.11102231,4768837.53487637,4,THE ALAMEDA & E 33RD ST,S/B,The Alameda,33rd St,The Alameda  & 33rd St
-8526556.65528844,4768814.47286697,5,E 33RD ST & THE ALAMEDA,E/B,E 33rd,The Alameda,E 33rd  & The Alameda
-8522544.40105939,4765715.59823616,6,ERDMAN AVE & N MACON ST,E/B,Erdman,Macon St,Erdman  & Macon St
-8522543.89562042,4765738.90044123,7,ERDMAN AVE & N MACON ST,W/B,Erdman,Macon St,Erdman  & Macon St
-8529948.2565708,4774675.17846002,8,N CHARLES ST & E LAKE AVE,S/B,Charles,Lake Ave,Charles & Lake Ave
-8526814.54019619,4764639.70029893,9,E MADISON ST & N CAROLINE ST,W/B,Madison,Caroline St,Madison  & Caroline St
-8524449.10364015,4764142.04662646,10,ORLEANS ST & N LINWOOD AVE,E/B,Orleans,Linwood Ave,Orleans   & Linwood Ave
-8520071.43762186,4762976.46157443,11,EASTERN AVE & KANE ST,E/B,Eastern,Kane St,Eastern  & Kane St
-8538395.06016357,4763638.86909475,12,EDMONDSON AVE & COOKS LN,E/B,Edmonson,Cooks Lane,Edmonson  & Cooks Lane
-8532681.93292649,4763831.64249283,13,W FRANKLIN ST & N PULASKI ST,W/B,Franklin,Pulaski St,Franklin  & Pulaski St
-8527755.40484554,4763977.2174093,14,ORLEANS ST & N GAY ST,E/B,Orleans,Gay St,Orleans  & Gay St
-8529980.22236794,4762357.61023202,15,S MARTIN LUTHER KING JR BLVD & WASHINGTON BLVD,N/B,MLK Jr. Blvd.,Washington Blvd,MLK Jr. Blvd.  & Washington Blvd
-8525739.74474132,4770491.14035518,16,HILLEN RD & ARGONNE DR,S/B,Hillen Rd,Argonne Drive,Hillen Rd  & Argonne Drive
-8529222.49951698,4766331.77196149,17,W NORTH AVE & N HOWARD ST,W/B,North Ave,Howard St,North Ave  & Howard St
-8527674.80033356,4755716.70346574,18,E PATAPSCO AVE & 4TH ST,W/B,Patapsco,4th St,"Patapsco  
 & 4th St"
-8539345.4076787,4773679.00431286,19,REISTERSTOWN RD & FALLSTAFF RD,S/B,Reisterstown,Fallstaff Road,Reisterstown   & Fallstaff Road
-8535853.08369835,4771920.47189033,20,PARK HEIGHTS AVE & HAYWARD AVE,N/B,Park Heights,Hayward Ave,Park Heights   & Hayward Ave
-8535853.08369835,4771920.47189033,21,PARK HEIGHTS AVE & HAYWARD AVE,S/B,Park Heights,Hayward Ave,Park Heights   & Hayward Ave
-8530173.04897155,4762726.81289744,22,S MARTIN LUTHER KING JR BLVD & W PRATT ST,S/B,MLK Jr. Blvd,Pratt St,"MLK Jr. Blvd 
 & Pratt St"
-8533803.48308417,4772655.23765019,23,W NORTHERN PKWY & GREENSPRING AVE,E/B,Northern Pkwy,Greenspring Ave,Northern Pkwy   & Greenspring Ave
-8533808.7239566,4772674.94524499,24,W NORTHERN PKWY & GREENSPRING AVE,W/B,Northern Pkwy,Greenspring Ave,Northern Pkwy  & Greenspring Ave
-8537024.15465188,4763794.8595124,25,EDMONDSON AVE & N ATHOL AVE,E/B,Edmonson,Woodbridge Ave,"Edmonson
  & Woodbridge Ave"
